"from","to","freq","duration_s"
"1008","1047",20,1557.3
"1008","1048",38,2663.13157894737
"1008","1049",44,3198.75
"1008","1050",1,59756
"1008","1061",5,9324.4
"1009","1000",309,2629.95792880259
"1009","1001",427,2430.36768149883
"1009","1002",65,2158.36923076923
"1009","1003",62,2069.24193548387
"1009","1004",21,4900.09523809524
"1009","1005",50,3039.48
"1009","1006",70,7148.77142857143
"1009","1007",16,1523.75
"1009","1008",27,4633.33333333333
"1009","1009",1100,5228.92909090909
"1009","1010",216,5213.61111111111
"1009","1011",100,4065.87
"1009","1012",119,4488.41176470588
"1009","1013",177,2850.37288135593
"1009","1014",39,446.179487179487
"1009","1015",66,2424.68181818182
"1009","1016",275,3429.73818181818
"1009","1017",415,2804.60963855422
"1009","1018",118,3760.37288135593
"1009","1019",189,3645.90476190476
"1009","1020",27,6091.14814814815
"1009","1021",23,3186.21739130435
"1009","1022",11,9534.81818181818
"1009","1023",4,2020.5
"1009","1024",2,3525
"1009","1025",6,2665.66666666667
"1009","1026",5,2339.4
"1009","1027",0,0
"1009","1028",0,0
"1009","1029",3,2432.66666666667
"1009","1030",1,2385
"1009","1031",0,0
"1009","1032",1,1784
"1009","1033",6,66112.1666666667
"1009","1034",2,1959.5
"1009","1035",7,6405.85714285714
"1009","1036",4,24208.75
"1009","1037",6,4532.66666666667
"1009","1038",1,2529
"1009","1039",9,7445.44444444444
"1009","1040",0,0
"1009","1041",4,1441.25
"1009","1042",0,0
"1009","1043",5,3591
"1009","1044",2,5616
"1009","1045",32,5788.75
"1009","1046",8,2386.5
"1009","1047",34,1747.79411764706
"1009","1048",16,1643.75
"1009","1049",68,3262.95588235294
"1009","1050",33,8859.54545454545
"1009","1061",40,3265.275
"1010","1000",541,2846.87245841035
"1010","1001",469,3296.93176972281
"1010","1002",65,3548
"1010","1003",153,2862.6862745098
"1010","1004",59,3153.01694915254
"1010","1005",73,6508.1095890411
"1010","1006",59,4694.77966101695
"1010","1007",49,3238.4693877551
"1010","1008",25,5856.4
"1010","1009",176,7191.19318181818
"1010","1010",2665,5981.13020637899
"1010","1011",205,4558.01951219512
"1010","1012",332,4877.21084337349
"1010","1013",394,3553.58883248731
"1010","1014",93,2070.60215053763
"1010","1015",322,4182.72049689441
"1010","1016",934,1857.1573875803
"1010","1017",1566,1632.56066411239
"1010","1018",443,2177.21670428894
"1010","1019",581,3358.48709122203
"1010","1020",46,15491.6739130435
"1010","1021",37,4711.89189189189
"1010","1022",19,15351.4210526316
"1010","1023",17,8306.76470588235
"1010","1024",5,2763.8
"1010","1025",19,5253.68421052632
"1010","1026",14,2165.28571428571
"1010","1027",1,1872
"1010","1028",5,22220
"1010","1029",0,0
"1010","1030",6,24634.3333333333
"1010","1031",8,2654.875
"1010","1032",1,2305
"1010","1033",9,7638.11111111111
"1010","1034",12,9232.58333333333
"1010","1035",8,3902.625
"1010","1036",14,9235.92857142857
"1010","1037",9,2896.11111111111
"1010","1038",10,6762.2
"1010","1039",2,32623
"1010","1040",5,10215.8
"1010","1041",14,3858.85714285714
"1010","1042",1,39664
"1010","1043",8,2058.75
"1010","1044",8,1596.5
"1010","1045",133,3696.0977443609
"1010","1046",100,3437.5
"1010","1047",93,2303.09677419355
"1010","1048",102,2686.22549019608
"1010","1049",165,3022.10909090909
"1010","1050",64,9192.703125
"1010","1061",188,1911.82978723404
"1011","1000",130,4675.64615384615
"1011","1001",139,8350.8417266187
"1011","1002",26,6294.07692307692
"1011","1003",23,2706.91304347826
"1011","1004",27,3729.03703703704
"1011","1005",24,9744.04166666667
"1011","1006",25,5649.56
"1011","1007",10,2531.1
"1011","1008",8,2284.75
"1011","1009",47,3296.3829787234
"1011","1010",219,5902.7397260274
"1011","1011",1495,5107.66488294314
"1011","1012",257,4031.07782101167
"1011","1013",293,4671.03412969283
"1011","1014",84,2801.40476190476
"1011","1015",272,1694.375
"1011","1016",206,2539.47572815534
"1011","1017",438,4088.43607305936
"1011","1018",133,2150.75939849624
"1011","1019",202,3234.78217821782
"1011","1020",17,6978
"1011","1021",16,4333.4375
"1011","1022",5,14483
"1011","1023",2,2241
"1011","1024",5,5165
"1011","1025",4,24434.75
"1011","1026",6,6138.66666666667
"1011","1027",3,4785
"1011","1028",1,1973
"1011","1029",6,3573.16666666667
"1011","1030",4,3190.25
"1011","1031",2,2518
"1011","1032",8,5577.375
"1011","1033",7,15388.5714285714
"1011","1034",0,0
"1011","1035",3,2933.33333333333
"1011","1036",8,15529.25
"1011","1037",3,4446.66666666667
"1011","1038",2,6938.5
"1011","1039",3,2242.66666666667
"1011","1040",2,1801.5
"1011","1041",4,23245.75
"1011","1042",0,0
"1011","1043",8,5778
"1011","1044",6,3667.33333333333
"1011","1045",79,4496.49367088608
"1011","1046",21,3477.38095238095
"1011","1047",20,5599.25
"1011","1048",31,2907.74193548387
"1011","1049",73,2013.84931506849
"1011","1050",23,18992.4782608696
"1011","1061",34,4789.26470588235
"1012","1000",472,3631.82203389831
"1012","1001",538,3151.84014869888
"1012","1002",101,3476.0297029703
"1012","1003",75,3789.48
"1012","1004",47,4969.78723404255
"1012","1005",34,3728.38235294118
"1012","1006",67,3981.31343283582
"1012","1007",61,4684.59016393443
"1012","1008",35,1696.54285714286
"1012","1009",94,2320.17021276596
"1012","1010",321,4913.33644859813
"1012","1011",226,3498.85398230089
"1012","1012",5244,5630.70289855072
"1012","1013",444,4567.72747747748
"1012","1014",137,2219.13868613139
"1012","1015",114,6793.61403508772
"1012","1016",189,2617.25396825397
"1012","1017",307,2870.96416938111
"1012","1018",90,8562.56666666667
"1012","1019",196,4770.10204081633
"1012","1020",12,15117.0833333333
"1012","1021",9,19068.8888888889
"1012","1022",8,4328
"1012","1023",4,9617.25
"1012","1024",3,16880
"1012","1025",6,22957.8333333333
"1012","1026",8,8969.25
"1012","1027",3,38181.3333333333
"1012","1028",2,24655
"1012","1029",8,13138.5
"1012","1030",4,16186.25
"1012","1031",2,7212
"1012","1032",3,2879.66666666667
"1012","1033",12,4660.83333333333
"1012","1034",2,2457
"1012","1035",6,19434.1666666667
"1012","1036",8,21380
"1012","1037",2,8835.5
"1012","1038",6,5233.16666666667
"1012","1039",11,2807.72727272727
"1012","1040",3,28440.6666666667
"1012","1041",3,3009.66666666667
"1012","1042",1,1319
"1012","1043",3,3079.33333333333
"1012","1044",10,3418.9
"1012","1045",206,3422.43689320388
"1012","1046",45,6436.11111111111
"1012","1047",83,4689.10843373494
"1012","1048",98,4888.11224489796
"1012","1049",191,4993.28272251309
"1012","1050",13,27622.7692307692
"1012","1061",29,3153.20689655172
"1013","1000",424,3187.625
"1013","1001",612,1807.71895424837
"1013","1002",83,3502.86746987952
"1013","1003",89,1760.13483146067
"1013","1004",45,2123.95555555556
"1013","1005",55,2812.87272727273
"1013","1006",74,2277.52702702703
"1013","1007",29,1875.13793103448
"1013","1008",29,3798.79310344828
"1013","1009",160,3456.3375
"1013","1010",401,2838.43142144638
"1013","1011",200,3934.45
"1013","1012",531,5360.35404896422
"1013","1013",3154,5542.22035510463
"1013","1014",98,2342.37755102041
"1013","1015",204,3036.15196078431
"1013","1016",246,1821.93495934959
"1013","1017",520,2741.64038461538
"1013","1018",275,2449.56363636364
"1013","1019",352,3586.75568181818
"1013","1020",16,35631.25
"1013","1021",12,6116.16666666667
"1013","1022",6,29804.5
"1013","1023",7,2962.71428571429
"1013","1024",5,2766
"1013","1025",12,2099.58333333333
"1013","1026",9,11784.3333333333
"1013","1027",0,0
"1013","1028",0,0
"1013","1029",1,1774
"1013","1030",0,0
"1013","1031",3,17698.3333333333
"1013","1032",3,21345.6666666667
"1013","1033",10,3579.1
"1013","1034",5,22033
"1013","1035",5,4722.8
"1013","1036",18,5671.66666666667
"1013","1037",8,4820.75
"1013","1038",7,14149
"1013","1039",4,2823.25
"1013","1040",2,2433
"1013","1041",5,2238
"1013","1042",3,28086
"1013","1043",7,1878.57142857143
"1013","1044",18,5985.61111111111
"1013","1045",95,6405.01052631579
"1013","1046",111,4279.12612612613
"1013","1047",67,4787.50746268657
"1013","1048",114,2237.36842105263
"1013","1049",377,3293.60477453581
"1013","1050",40,24176
"1013","1061",85,2368.03529411765
"1014","1000",140,4506.43571428571
"1014","1001",157,1654.0127388535
"1014","1002",24,1530.625
"1014","1003",18,2232.27777777778
"1014","1004",36,943.583333333333
"1014","1005",31,1334
"1014","1006",70,981.7
"1014","1007",4,1044.5
"1014","1008",2,8665.5
"1014","1009",6,1210.16666666667
"1014","1010",115,1795.72173913043
"1014","1011",97,2275.73195876289
"1014","1012",231,2925.63636363636
"1014","1013",159,4432.32075471698
"1014","1014",895,6922.54972067039
"1014","1015",133,2610.54887218045
"1014","1016",64,7408.5625
"1014","1017",108,3758.84259259259
"1014","1018",25,2892.08
"1014","1019",33,2468.57575757576
"1014","1020",5,2582
"1014","1021",3,3315
"1014","1022",3,22300
"1014","1023",2,2384.5
"1014","1024",2,4282.5
"1014","1025",1,3280
"1014","1026",2,3585
"1014","1027",0,0
"1014","1028",2,13301.5
"1014","1029",3,12752.6666666667
"1014","1030",0,0
"1014","1031",0,0
"1014","1032",2,7221.5
"1014","1033",4,23845
"1014","1034",1,3150
"1014","1035",0,0
"1014","1036",2,3502.5
"1014","1037",3,8160.33333333333
"1014","1038",1,1948
"1014","1039",0,0
"1014","1040",1,2578
"1014","1041",9,3456.44444444444
"1014","1042",1,1337
"1014","1043",1,14252
"1014","1044",1,2296
"1014","1045",30,3567.46666666667
"1014","1046",13,8505.30769230769
"1014","1047",8,1875.625
"1014","1048",11,2641.54545454545
"1014","1049",15,2614.86666666667
"1014","1050",7,19910.4285714286
"1014","1061",5,2589.8
"1015","1000",213,2308.56338028169
"1015","1001",419,2150.6968973747
"1015","1002",112,1438.47321428571
"1015","1003",33,4321.60606060606
"1015","1004",31,1772.35483870968
"1015","1005",133,1677.99248120301
"1015","1006",119,1862.87394957983
"1015","1007",12,1445.16666666667
"1015","1008",20,4301.55
"1015","1009",57,7390.77192982456
"1015","1010",313,4476.15335463259
"1015","1011",238,3053.09663865546
"1015","1012",224,4216.60267857143
