"1019",231,278,52,45,14,264,40,3,4,89,323,144,228,365,35,83,186,578,168,1356,28,24,35,62,30,73,27,8,12,10,22,10,9,21,5,14,12,8,0,4,6,16,1,9,3,45,9,28,48,48,75,1,55,0,0,0,0,0,0,0,0
"1020",344,68,44,8,2,18,15,3,2,48,149,25,44,62,12,18,81,141,45,310,259,66,59,239,60,124,206,33,126,30,45,63,59,149,48,73,49,26,4,16,32,55,2,12,4,14,2,5,6,22,42,0,52,0,0,0,0,0,0,0,0
"1021",78,103,67,45,11,46,18,3,4,28,180,48,46,50,6,29,48,165,82,211,37,258,83,99,39,68,279,15,50,28,71,27,23,122,65,54,72,127,5,12,36,48,0,33,7,26,2,6,18,20,244,0,41,0,0,0,0,0,0,0,0
"1022",56,91,9,6,6,37,12,1,3,53,115,6,26,42,11,30,61,76,70,210,68,111,303,90,83,58,106,18,72,34,68,57,31,190,72,65,112,115,22,15,91,71,0,22,7,37,15,8,2,10,13,0,17,0,0,0,0,0,0,0,0
"1023",37,35,3,6,4,4,11,3,0,7,48,29,17,17,1,34,31,81,59,151,206,136,94,431,32,29,121,25,72,74,69,37,48,126,87,130,54,70,9,16,124,243,2,21,11,34,2,11,14,2,5,0,10,0,0,0,0,0,0,1,0
"1024",25,20,3,6,2,6,78,4,7,2,30,9,11,8,5,6,28,22,19,60,102,42,45,44,356,47,110,32,37,79,52,15,47,136,88,42,31,66,5,24,79,35,2,34,57,3,2,5,0,1,17,0,3,0,0,0,0,0,0,0,0
"1025",28,448,9,13,1,6,3,6,0,16,43,11,13,28,0,2,22,44,39,225,106,76,65,33,46,284,264,23,56,47,88,17,9,82,42,27,29,18,0,3,47,73,0,11,23,10,1,2,6,4,20,0,25,0,0,0,0,0,0,0,0
"1026",310,50,2,2,0,2,4,1,2,6,10,8,21,29,3,10,7,28,26,105,122,205,105,81,106,65,315,17,60,41,38,26,40,105,73,45,48,51,2,10,26,24,0,14,29,9,6,4,7,0,10,0,15,0,0,0,0,0,0,0,0
"1027",12,9,0,1,4,1,1,0,1,1,6,15,3,4,0,1,3,27,6,10,35,14,21,33,40,42,11,255,197,120,49,55,96,183,124,91,26,76,15,6,40,32,0,34,5,15,0,1,3,0,0,0,1,0,0,0,0,0,0,2,0
"1028",16,10,11,6,12,1,3,0,0,2,13,3,12,8,4,2,4,6,16,24,84,67,53,65,30,31,60,133,627,493,43,50,258,254,109,33,76,32,35,6,34,211,0,39,3,15,2,2,2,7,5,0,1,0,0,0,0,0,0,2,0
"1029",20,11,4,5,0,3,2,3,0,5,9,9,15,17,1,1,4,35,18,30,33,33,36,98,83,30,45,80,721,496,25,94,114,327,194,62,51,47,9,11,120,201,0,9,10,23,7,5,6,3,0,0,3,0,0,0,0,0,0,0,0
"1030",6,11,1,4,2,0,5,1,3,1,7,4,2,5,1,0,14,23,16,27,19,70,78,99,78,29,33,20,38,16,179,10,42,46,59,35,19,22,4,7,10,17,0,12,4,3,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0
"1031",17,21,6,0,2,0,6,1,1,3,12,7,9,7,2,2,64,40,21,34,55,28,37,70,10,5,26,41,43,86,11,445,147,82,139,101,65,36,26,22,65,105,0,11,11,28,3,7,4,9,5,0,4,0,0,0,0,0,0,0,0
"1032",28,53,52,15,40,6,80,0,2,4,110,5,12,8,1,8,6,29,12,27,54,24,22,63,41,8,59,96,315,137,65,289,678,216,118,155,144,244,4,7,54,92,0,25,4,21,12,16,11,3,2,0,1,0,0,0,0,0,0,0,0
"1033",63,33,12,13,14,4,28,6,2,1,59,19,15,35,2,11,25,98,33,96,87,88,109,125,168,76,134,183,240,509,64,231,186,705,319,275,142,166,27,87,112,313,0,55,23,39,17,2,15,10,7,0,1,0,0,0,0,0,0,0,0
"1034",20,21,5,8,29,2,6,7,1,8,12,10,11,7,1,0,13,42,10,35,27,64,44,100,121,8,91,170,124,181,57,154,100,467,546,55,107,477,47,65,114,179,3,18,21,71,26,16,12,6,4,0,4,0,0,0,0,0,0,0,0
"1035",54,16,9,14,45,12,10,10,2,4,9,9,10,9,3,5,13,25,16,46,91,44,48,269,89,20,59,86,78,84,21,109,232,284,76,532,151,373,101,97,32,244,1,44,49,47,6,11,10,17,3,0,3,0,0,0,0,0,0,0,0
"1036",101,66,18,21,66,18,13,32,2,3,20,13,27,11,3,7,10,31,17,36,22,53,78,67,64,19,40,34,45,70,20,83,101,178,90,128,2030,259,617,197,72,160,1,83,106,140,17,35,21,27,6,0,1,0,0,0,0,0,0,0,0
"1037",57,21,10,12,177,12,19,13,3,0,10,15,6,8,0,3,28,10,5,51,16,50,96,57,49,3,75,51,33,42,26,33,125,122,452,325,281,1039,897,89,63,166,1,70,41,57,16,15,12,6,1,0,5,0,0,0,0,0,0,0,0
"1038",47,25,11,14,333,11,56,9,1,5,74,9,16,15,0,2,5,3,1,3,2,6,13,13,6,1,3,24,18,8,6,26,4,19,59,109,683,929,529,121,302,1314,0,159,44,126,38,18,24,18,3,0,0,0,0,0,0,0,0,0,0
"1039",85,44,23,30,24,3,6,165,1,10,11,9,37,17,1,3,23,14,6,5,11,20,15,34,72,0,0,13,15,15,2,31,10,81,45,102,162,48,212,637,154,578,0,25,46,233,59,48,43,28,16,0,1,0,0,0,0,0,1,0,0
"1040",29,13,8,9,12,12,14,7,5,2,14,6,6,8,7,7,11,28,27,24,36,42,88,199,95,25,55,66,89,124,34,84,98,215,139,53,94,93,264,168,348,132,3,102,74,50,10,28,8,9,6,0,2,0,0,0,0,0,0,0,0
"1041",92,70,11,17,156,17,84,96,13,7,35,12,32,26,1,10,11,31,25,27,35,63,59,202,126,61,33,45,154,210,20,88,72,286,177,184,202,121,1185,506,97,701,4,63,368,205,66,97,60,36,8,0,1,0,0,0,0,0,1,0,0
